accessor,function,doesExist
toNat,add,true
toInt,add,true
toFin,add,true
getElem,add,true
getLsbD,add,true
getMsbD,add,true
msb,add,true
toNat,sub,true
toInt,sub,true
toFin,sub,true
getElem,sub,true
getLsbD,sub,true
getMsbD,sub,true
msb,sub,true
toNat,neg,true
toInt,neg,true
toFin,neg,true
getElem,neg,true
getLsbD,neg,true
getMsbD,neg,true
msb,neg,true
toNat,abs,true
toInt,abs,true
toFin,abs,false
getElem,abs,true
getLsbD,abs,true
getMsbD,abs,true
msb,abs,true
toNat,mul,true
toInt,mul,true
toFin,mul,true
getElem,mul,true
getLsbD,mul,true
getMsbD,mul,false
msb,mul,true
toNat,udiv,true
toInt,udiv,false
toFin,udiv,false
getElem,udiv,false
getLsbD,udiv,false
getMsbD,udiv,false
msb,udiv,false
toNat,umod,true
toInt,umod,false
toFin,umod,false
getElem,umod,false
getLsbD,umod,false
getMsbD,umod,false
msb,umod,false
toNat,sdiv,true
toInt,sdiv,false
toFin,sdiv,false
getElem,sdiv,false
getLsbD,sdiv,false
getMsbD,sdiv,false
msb,sdiv,false
toNat,srem,false
toInt,srem,false
toFin,srem,false
getElem,srem,false
getLsbD,srem,false
getMsbD,srem,false
msb,srem,false
toNat,smod,true
toInt,smod,false
toFin,smod,false
getElem,smod,false
getLsbD,smod,false
getMsbD,smod,false
msb,smod,false
toNat,umod,true
toInt,umod,false
toFin,umod,false
getElem,umod,false
getLsbD,umod,false
getMsbD,umod,false
msb,umod,false
toNat,ofBool,true
toInt,ofBool,true
toFin,ofBool,true
getElem,ofBool,true
getLsbD,ofBool,true
getMsbD,ofBool,true
msb,ofBool,true
toNat,fill,false
toInt,fill,false
toFin,fill,false
getElem,fill,false
getLsbD,fill,false
getMsbD,fill,false
msb,fill,false
toNat,extract,true
toInt,extract,false
toFin,extract,false
getElem,extract,true
getLsbD,extract,true
getMsbD,extract,false
msb,extract,false
toNat,extractLsb',true
toInt,extractLsb',false
toFin,extractLsb',false
getElem,extractLsb',true
getLsbD,extractLsb',true
getMsbD,extractLsb',false
msb,extractLsb',false
toNat,setWidth,true
toInt,setWidth,true
toFin,setWidth,true
getElem,setWidth,true
getLsbD,setWidth,true
getMsbD,setWidth,true
msb,setWidth,true
toNat,shiftLeftZeroExtend,false
toInt,shiftLeftZeroExtend,false
toFin,shiftLeftZeroExtend,false
getElem,shiftLeftZeroExtend,true
getLsbD,shiftLeftZeroExtend,true
getMsbD,shiftLeftZeroExtend,true
msb,shiftLeftZeroExtend,true
toNat,setWidth',true
toInt,setWidth',false
toFin,setWidth',false
getElem,setWidth',true
getLsbD,setWidth',true
getMsbD,setWidth',true
msb,setWidth',true
toNat,signExtend,true
toInt,signExtend,true
toFin,signExtend,false
getElem,signExtend,true
getLsbD,signExtend,true
getMsbD,signExtend,true
msb,signExtend,true
toNat,and,true
toInt,and,true
toFin,and,true
getElem,and,true
getLsbD,and,true
getMsbD,and,true
msb,and,true
toNat,or,true
toInt,or,true
toFin,or,true
getElem,or,true
getLsbD,or,true
getMsbD,or,true
msb,or,true
toNat,xor,true
toInt,xor,true
toFin,xor,true
getElem,xor,true
getLsbD,xor,true
getMsbD,xor,true
msb,xor,true
toNat,not,true
toInt,not,true
toFin,not,true
getElem,not,true
getLsbD,not,true
getMsbD,not,true
msb,not,true
toNat,shiftLeft,true
toInt,shiftLeft,false
toFin,shiftLeft,true
getElem,shiftLeft,true
getLsbD,shiftLeft,true
getMsbD,shiftLeft,true
msb,shiftLeft,true
toNat,ushiftRight,true
toInt,ushiftRight,true
toFin,ushiftRight,false
getElem,ushiftRight,true
getLsbD,ushiftRight,true
getMsbD,ushiftRight,true
msb,ushiftRight,true
toNat,sshiftRight,false
toInt,sshiftRight,false
toFin,sshiftRight,false
getElem,sshiftRight,true
getLsbD,sshiftRight,true
getMsbD,sshiftRight,true
msb,sshiftRight,true
toNat,sshiftRight',false
toInt,sshiftRight',false
toFin,sshiftRight',false
getElem,sshiftRight',true
getLsbD,sshiftRight',true
getMsbD,sshiftRight',true
msb,sshiftRight',true
toNat,rotateLeft,false
toInt,rotateLeft,false
toFin,rotateLeft,false
getElem,rotateLeft,true
getLsbD,rotateLeft,true
getMsbD,rotateLeft,true
msb,rotateLeft,true
toNat,rotateRight,false
toInt,rotateRight,false
toFin,rotateRight,false
getElem,rotateRight,true
getLsbD,rotateRight,true
getMsbD,rotateRight,true
msb,rotateRight,true
toNat,append,true
toInt,append,false
toFin,append,false
getElem,append,true
getLsbD,append,true
getMsbD,append,true
msb,append,true
toNat,replicate,false
toInt,replicate,false
toFin,replicate,false
getElem,replicate,true
getLsbD,replicate,true
getMsbD,replicate,false
msb,replicate,false
toNat,concat,true
toInt,concat,true
toFin,concat,true
getElem,concat,true
getLsbD,concat,true
getMsbD,concat,true
msb,concat,true
toNat,twoPow,true
toInt,twoPow,false
toFin,twoPow,false
getElem,twoPow,true
getLsbD,twoPow,true
getMsbD,twoPow,true
msb,twoPow,true
